citation_key,title,year,pmid,doi,source_type,topic_tags,harvest_bucket,source_origin,venue
doctor2024doctor,Large language model doctor: assessing the ability of ChatGPT-4 to deliver interventional radiology procedural information to patients during the consent process,2024,39612047,,publication,clinical;llm_procedures;patient,evidence_json,evidence.json,
duffy2022echonet,EchoNet-LVH: Deep Learning Detection of Left Ventricular Hypertrophy and Cardiac Amyloidosis from Echocardiograms,2022,34953342,10.1001/jamacardio.2021.4886,external validation,ai_echo;amyloidosis;lvh,curated_extension,curated_extensions,JAMA Cardiology
duongelectroca2026development,Development and multicentre validation of an artificial intelligence electrocardiogram model for ventricular remodeling in repaired tetralogy of Fallot,2026,41695565,10.1093/ehjdh/ztag015,implementation study,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
eckardt2024identifies,Deep Learning Identifies Cardiac Amyloidosis from Cardiac Magnetic Resonance,2024,38347806,10.1148/ryai.230097,derivation/validation study,ai_cmr;amyloidosis;deep_learning,curated_extension,curated_extensions,Radiology: Artificial Intelligence
effects2026effects,Effects of ablation versus drug therapy on clinical outcomes and quality of life by frailty status in atrial fibrillation: a post hoc analysis of the CABANA trial,2026,41652456,,publication,atrial_fibrillation;clinical;grant_reviewer;patient,evidence_json,evidence.json,
elantaryautoma2025electrocardiography,Artificial Intelligence in Electrocardiography: From Automated Arrhythmia Detection to Predicting Hidden Cardiovascular Disease,2025,41069568,10.7759/cureus.94065,review,ai_ecg,"Reviews, methods, and reporting quality",ai_ecg_candidates,
eriksen2023diagnose,Use of GPT-4 to Diagnose Complex Clinical Cases,2023,,10.1056/aip2300031,evaluation study,diagnostic_reasoning;llm,curated_extension,curated_extensions,NEJM AI
evaluating2025evaluating,Evaluating Large Language Models for Decision Support in Minimally Invasive Spine Surgery Triage and Procedural Categories,2025,41424195,,publication,clinical;engineering;grant_reviewer;llm_procedures,evidence_json,evidence.json,
fahmy2020automated,Automated Quantification of Myocardial Tissue Characteristics from Native T1 Mapping Using Neural Networks With Uncertainty-Based Quality-Control,2020,32148641,10.1186/s12968-020-00611-5,method development with QC,ai_cmr;t1_mapping;uncertainty,curated_extension,curated_extensions,Journal of Cardiovascular Magnetic Resonance
fahmyhcmscarsc2022radiomics,Radiomics and deep learning for myocardial scar screening in hypertrophic cardiomyopathy.,2022,35761339,10.1186/s12968-022-00869-x,Multicenter development with external validation,ai_cmr,AI-CMR,ai_cmr_candidates,
fda2024approved,FDA-Approved Artificial Intelligence and Machine Learning (AI/ML)-Enabled Medical Devices,2024,,,regulatory list,ai_governance;policy;regulation,curated_extension,curated_extensions,U.S. Food and Drug Administration
ferreiraquanti2020quantitative,Quantitative cardiac MRI.,2020,31111616,10.1002/jmri.26789,Narrative review,ai_cmr,AI-CMR,ai_cmr_candidates,
goff20142014,2014 ACC/AHA Guideline on the Assessment of Cardiovascular Risk,2014,24222018,10.1161/01.cir.0000437741.48606.98,guideline,guideline;policy;risk_prediction,curated_extension,curated_extensions,Circulation
goldberger2000physiobank,"PhysioBank, PhysioToolkit, and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals",2000,10851218,10.1161/01.cir.101.23.e215,resource descriptor,ai_ecg;dataset;infrastructure;open_data,curated_extension,curated_extensions,Circulation
goldstein2017opportunities,Opportunities and challenges in developing risk prediction models with electronic health records data: a systematic review,2017,27274015,10.1093/jamia/ocw042,systematic review,ehr;methodology;risk_prediction,curated_extension,curated_extensions,Journal of the American Medical Informatics Association
gonzlezlpezamy2026improving,Improving transthyretin cardiac amyloidosis detection from electrocardiograms through the Willem artificial intelligence platform,2026,41933633,10.1016/j.hrthm.2026.03.1949,retrospective cohort/model development,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
goto2024effect,Effect of AI-Enabled ECG on the Detection of Cardiac Amyloidosis in a Routine Clinical Setting,2024,38912589,10.1001/jamacardio.2024.1622,prospective implementation,ai_ecg;amyloidosis;implementation,curated_extension,curated_extensions,JAMA Cardiology
groganamyloido2021enhanced,Artificial Intelligence-Enhanced Electrocardiogram for the Early Detection of Cardiac Amyloidosis,2021,34218880,10.1016/j.mayocp.2021.04.023,retrospective cohort/model development,ai_clinic;ai_ecg;cardiomyopathy;clinical;engineering,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
gulshan2016development,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,2016,27898976,10.1001/jama.2016.17216,external validation,ai_imaging;external_validation;general_ai,curated_extension,curated_extensions,JAMA
halcox2017assessment,Assessment of Remote Heart Rhythm Sampling Using the AliveCor Heart Monitor to Screen for Atrial Fibrillation,2017,28860318,10.1161/circulationaha.117.030583,randomized screening trial,atrial_fibrillation;screening;wearable,curated_extension,curated_extensions,Circulation
hannaicardiacm2024present,Present and Future Innovations in AI and Cardiac MRI.,2024,38193835,10.1148/radiol.231269,Narrative review,ai_cmr,AI-CMR,ai_cmr_candidates,
hanncmrlandmar2021landmark,Landmark Detection in Cardiac MRI by Using a Convolutional Neural Network.,2021,34617022,10.1148/ryai.2021200197,Retrospective multicenter development and hold-out test study,ai_cmr,AI-CMR,ai_cmr_candidates,
hannun2019cardiologist,Cardiologist-level arrhythmia detection and classification in ambulatory electrocardiograms using a deep neural network,2019,30617320,10.1038/s41591-018-0268-3,retrospective derivation/validation,ai_ecg;arrhythmia;deep_learning;seminal,curated_extension,curated_extensions,Nature Medicine
harloffdflowdl2024automated,Deep learning based automated left ventricle segmentation and flow quantification in 4D flow cardiac MRI.,2024,38211658,10.1016/j.jocmr.2023.100003,Technical validation study,ai_cmr,AI-CMR,ai_cmr_candidates,
herreraleaoecg2026criteria,"Old criteria, new intelligence: The evolution of ECG in pulmonary hypertension diagnosis",2026,41544985,10.1016/j.rmed.2026.108646,implementation study,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
hirotapredicti2026prediction,Prediction of Atrial Fibrillation Using Artificial Intelligence-Enhanced Electrocardiography - Does Left Atrial Size Matter?,2026,42036324,10.1253/circj.cj-25-1151,retrospective cohort/model development,ai_ecg,Atrial fibrillation detection and prediction,ai_ecg_candidates,
huelectrocardi2025foundation,A deep foundation model for electrocardiogram interpretation: enabling rare disease detection through transfer learning,2025,40703125,10.1093/ehjdh/ztaf051,retrospective cohort/model development,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
icadiagnosis2025diagnosis,Artificial Intelligence in the Diagnosis and Management of Atrial Fibrillation,2025,41153234,10.3390/diagnostics15202561,review,ai_ecg,Atrial fibrillation detection and prediction,ai_ecg_candidates,
jainamyloidosi2026detecting,Detecting Transthyretin Cardiac Amyloidosis With Artificial Intelligence: A Nonrandomized Clinical Trial,2026,41213043,10.1001/jamacardio.2025.4591,nonrandomized clinical trial,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
jangecg2025novel,A novel XAI framework for explainable AI-ECG using generative counterfactual XAI (GCX),2025,40604021,10.1038/s41598-025-08080-5,retrospective cohort/model development,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
jha2016adapting,Adapting to artificial intelligence: radiologists and pathologists as information specialists,2016,27923979,10.1001/jama.2016.17438,viewpoint,ai_imaging;policy;workforce,curated_extension,curated_extensions,JAMA
johnson2016mimic,"MIMIC-III, a freely accessible critical care database",2016,27219127,10.1038/sdata.2016.35,dataset descriptor,dataset;icu;open_data,curated_extension,curated_extensions,Scientific Data
johnson2018disease,Artificial Intelligence and Cardiovascular Disease,2018,29495345,10.1016/j.jacc.2017.12.054,review,ai_cardiology;review,curated_extension,curated_extensions,Journal of the American College of Cardiology
khera2023chatgpt,ChatGPT and Cardiovascular Disease: A Pragmatic Approach,2023,37690704,10.1038/s44161-023-00316-9,perspective,ai_cardiology;llm;review,curated_extension,curated_extensions,Nature Cardiovascular Research
khurshid2022electronic,Electronic health record-based prediction of incident atrial fibrillation: the EHR-AF score,2022,35430934,10.1161/circulationaha.121.057521,derivation/validation study,atrial_fibrillation;ehr;prediction,curated_extension,curated_extensions,Circulation
khurshid2024detect,Use of artificial intelligence to detect serious illness in single-lead electrocardiograms,2024,39160322,10.1056/aioa2400016,external validation,ai_ecg;external_validation;wearable,curated_extension,curated_extensions,NEJM AI
khurshidecg2026enabled,Artificial Intelligence-Enabled ECG Analysis to Predict Incident Heart Failure,2026,41730522,10.1161/circheartfailure.125.013927,retrospective cohort/model development,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
kidoctcmrmlcad2025data,A Machine Learning Model Using Cardiac CT and MRI Data Predicts Cardiovascular Events in Obstructive Coronary Artery Disease.,2025,39807980,10.1148/radiol.233030,Retrospective multimodal prognostic study,ai_cmr,AI-CMR,ai_cmr_candidates,
kidoeatstressc2024quantification,DEep LearnIng-based QuaNtification of epicardial adipose tissue predicts MACE in patients undergoing stress CMR.,2024,38679562,10.1016/j.atherosclerosis.2024.117549,Retrospective derivation-validation prognostic study,ai_cmr,AI-CMR,ai_cmr_candidates,
kimai2026applications,AI Applications in Electrocardiography for Ischemic and Structural Heart Disease: A Review of the Current State,2026,41517565,10.3390/jcm15010316,review,ai_ecg,"Reviews, methods, and reporting quality",ai_ecg_candidates,
kimelectrocard2025external,External assessment of an artificial intelligence-enabled electrocardiogram for aortic stenosis detection,2025,40703138,10.1093/ehjdh/ztaf067,retrospective cohort/model development,ai_clinic;ai_ecg;clinical;engineering;implementation,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
kimtmappingdlv2023validation,Validation of a deep learning-based software for automated analysis of T2 mapping in cardiac magnetic resonance imaging.,2023,37869306,10.21037/qims-23-375,Two-center validation study,ai_cmr,AI-CMR,ai_cmr_candidates,
knigelectrocar2024identification,Artificial intelligence-based identification of left ventricular systolic dysfunction from 12-lead electrocardiograms: external validation and advanced application of an existing model,2024,38505486,10.1093/ehjdh/ztad081,external validation study,ai_ecg;clinical;engineering;grant_reviewer;implementation,LV systolic dysfunction and heart failure,ai_ecg_candidates,
knottmlsurviva2022benefits,Benefits of Machine Learning to Predict Survival Using Stress Perfusion CMR and Basic Clinical Information.,2022,35987738,10.1016/j.jcmg.2022.06.017,Retrospective prognostic modeling study,ai_cmr,AI-CMR,ai_cmr_candidates,
knottpefusionc2020preprocessing,Deep-Learning-Based Preprocessing for Quantitative Myocardial Perfusion MRI.,2020,31710769,10.1002/jmri.26983,Retrospective technical validation study,ai_cmr,AI-CMR,ai_cmr_candidates,
koelectrocardi2020detection,Detection of Hypertrophic Cardiomyopathy Using a Convolutional Neural Network-Enabled Electrocardiogram,2020,32081280,10.1016/j.jacc.2019.12.030,external validation study,ai_clinic;ai_ecg;cardiomyopathy;clinical;engineering,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
komorowski2018reinforcement,"Reinforcement learning for sepsis treatment recommendations: a model-based, off-policy evaluation",2018,30349085,10.1038/s41591-018-0213-5,method development,decision_support;general_ai;reinforcement_learning,curated_extension,curated_extensions,Nature Medicine
kornej2020epidemiology,"Epidemiology, Pathophysiology, and Clinical Outcomes of Atrial Fibrillation",2020,32259335,10.1161/circresaha.120.316340,review,atrial_fibrillation;epidemiology;review,curated_extension,curated_extensions,Circulation Research
krittanawong2017cardiology,Artificial intelligence in cardiology,2017,28528617,10.1016/j.jacc.2017.03.571,review,ai_cardiology;review,curated_extension,curated_extensions,Journal of the American College of Cardiology
krittanawong2019medicine,Deep learning for cardiovascular medicine: a practical primer,2019,30887080,10.1093/eurheartj/ehz056,review/primer,ai_cardiology;deep_learning;education,curated_extension,curated_extensions,European Heart Journal
krumholz2024pragmatic,Pragmatic clinical trials of digital health: From the SHRED to the OPTIMISE-HF,2024,,10.1056/aira2400015,perspective,digital_health;implementation;pragmatic_trials,curated_extension,curated_extensions,NEJM AI
laganstirradio2022radiomics,Radiomics analysis of short tau inversion recovery images in cardiac magnetic resonance for the prediction of late gadolinium enhancement in patients with acute myocarditis.,2022,36116711,10.1016/j.mri.2022.09.004,Retrospective radiomics study,ai_cmr,AI-CMR,ai_cmr_candidates,
leeecg2025enabled,AI-Enabled Smartwatch ECG: A Feasibility Study for Early Prediction and Prevention of Heart Failure Rehospitalization,2025,40139860,10.1016/j.jacbts.2025.01.005,retrospective cohort/model development,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
leeecg2025enableda,Artificial Intelligence-Enabled ECG Screening for LVSD in LBBB: Evaluating Model Development and Transfer Learning Approaches,2025,40845745,10.1016/j.jacadv.2025.102089,external validation study,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
leeecg2026algorithm,Deep learning algorithm for detection of acute heart failure using standard ECG waveforms,2026,41624566,10.1093/ehjdh/ztaf132,external validation study,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
leeecg2026external,External validation of ECG artificial intelligence for emergency and cardiac assessment across a large-scale U.S. healthcare system,2026,42049841,10.1038/s41746-026-02682-7,external validation study,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
leeelectrocard2022enabled,Artificial intelligence-enabled electrocardiogram screens low left ventricular ejection fraction with a degree of confidence,2022,36532114,10.1177/20552076221143249,external validation study,ai_clinic;ai_ecg;engineering;grant_reviewer;implementation,LV systolic dysfunction and heart failure,ai_ecg_candidates,
leemodel2026transfer,Deep Learning Model Using Transfer Learning for Detecting Left Ventricular Systolic Dysfunction: Retrospective Algorithm Development and Validation Study,2026,42030497,10.2196/83127,external validation study,ai_ecg,LV systolic dysfunction and heart failure,ai_ecg_candidates,
leepractice2026enabled,Artificial Intelligence-Enabled Electrocardiography in Practice: A State-of-the-Art Review,2026,41866890,10.4070/kcj.2025.0486,state-of-the-art review,ai_ecg,"Reviews, methods, and reporting quality",ai_ecg_candidates,
leepreoperativ2026enabled,Artificial Intelligence-Enabled Electrocardiography for Preoperatively Detecting Atrial Fibrillation and Mortality Risk in Patients with Sinus Rhythm,2026,41583521,10.7150/ijms.123598,retrospective cohort/model development,ai_ecg,Atrial fibrillation detection and prediction,ai_ecg_candidates,
lewontinecg2025advanced,Advanced Diagnosis of Hypertrophic Cardiomyopathy with AI-ECG and Differences Based on Ethnicity and HCM Subtype,2025,40649092,10.3390/jcm14134718,retrospective cohort/model development,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
limecg2026trained,ECG trained artificial intelligence for the detection of patients with inducible myocardial ischemia,2026,41929849,10.1093/ehjdh/ztag050,external validation study,ai_ecg,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
lin2024pragmatic,Pragmatic Adoption of AI-ECG in Inpatient Wards: A Cluster-Randomized Effectiveness Trial,2024,38381622,10.1038/s41591-024-02835-9,cluster randomized trial,ai_ecg;deployment;implementation;rct,curated_extension,curated_extensions,Nature Medicine
lin2024real,Real-world implementation of artificial intelligence-assisted electrocardiogram interpretation: An ambidirectional cohort study,2024,38944106,10.1016/j.lanwpc.2024.101126,implementation cohort,ai_ecg;implementation;real_world,curated_extension,curated_extensions,Lancet Regional Health - Western Pacific
lindtpsirpatho2024automated,Automated assessment of cardiac pathologies on cardiac MRI using T1-mapping and late gadolinium phase sensitive inversion recovery sequences with deep learning.,2024,38350900,10.1186/s12880-024-01217-4,Retrospective classifier study,ai_cmr,AI-CMR,ai_cmr_candidates,
linelectrocard2026enabled,AI-enabled electrocardiogram alert for potassium imbalance treatment: a pragmatic randomized controlled trial,2026,41507124,10.1038/s41467-025-66394-4,pragmatic randomized controlled trial,ai_ecg,"Implementation, deployment, and enabling methods",ai_ecg_candidates,
liu2020reporting,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,32908316,10.1038/s41591-020-1034-x,reporting guideline,ai_governance;policy;reporting_standards,curated_extension,curated_extensions,Nature Medicine
liuelectrocard2022enabled,Artificial Intelligence-Enabled Electrocardiogram Improves the Diagnosis and Prediction of Mortality in Patients With Pulmonary Hypertension,2022,36338407,10.1016/j.jacasi.2022.02.008,retrospective cohort/model development,ai_ecg;clinical;engineering;implementation,"Structural heart disease, cardiomyopathy, and ischemia",ai_ecg_candidates,
liuhcmmlmace2024hypertrophic,Machine Learning in Hypertrophic Cardiomyopathy: Nonlinear Model From Clinical and CMR Features Predicting Cardiovascular Events.,2024,39001729,10.1016/j.jcmg.2024.04.013,Multicenter retrospective prognostic study,ai_cmr,AI-CMR,ai_cmr_candidates,
